Length,Time
1000,0.12683734
1020,0.13789977
1040,0.14909443
1060,0.15799576
1080,0.14615583
1100,0.18880224
1120,0.22160776
1140,0.24067996
1160,0.20661291
1180,0.25201723
1200,0.24888532
1220,0.26418164
1240,0.39815181
1260,0.24113534
1280,0.28543827
1300,0.28035575
1320,0.34675857
1340,0.31993183
1360,0.31912774
1380,0.26524982
1400,0.35388008
1420,0.30466583
1440,0.31784636
1460,0.35202408
1480,0.46666208
1500,0.37970817
1520,0.51443195
1540,0.4216969
1560,0.4177117
1580,0.50952977
1600,0.5460464
1620,0.5613843
1640,0.60360223
1660,0.5514299
1680,0.56704134
1700,0.624426
1720,0.69485426
1740,0.67850304
1760,0.701319
1780,0.603822
1800,0.806803
1820,0.65067154
1840,0.7709383
1860,0.81695825
1880,0.8624936
1900,0.8022602
1920,0.9514669
1940,0.7822789
1960,0.78569216
1980,0.91129243
2000,0.9241003
2020,0.9085938
2040,0.95127755
2060,1.204111
2080,1.1300701
2100,1.4802035
2120,1.2473639
2140,1.4153717
2160,1.2913139
2180,1.4690235
2200,1.4540694
2220,1.5536163
2240,1.445704
2260,1.5573812
2280,1.460214
2300,1.5741572
2320,1.6192973
2340,1.5780702
2360,1.6115122
2380,1.6193728
2400,1.6441579
2420,1.5311172
2440,1.6314609
2460,1.6503658
2480,1.7173715
2500,1.5656594
2520,1.7419069
2540,1.7561214
2560,1.6113685
2580,1.8424771
2600,1.9132893
2620,1.7029955
2640,1.8273945
2660,1.9534571
2680,1.8039901
2700,1.9417619
2720,1.7420199
2740,1.8753347
2760,1.7912166
2780,1.8750119
2800,1.8727145
2820,2.0717301
2840,1.9296832
2860,2.217604
2880,1.971864
2900,2.2570689
2920,2.2529235
2940,2.3132465
2960,2.0999417
2980,2.083343
3000,2.238904
3020,2.4116886
3040,2.4601383
3060,2.340137
3080,2.8082833
3100,2.8514109
3120,2.7976093
3140,2.8337781
3160,2.508368
3180,2.8337574
3200,3.2054172
3220,2.8847532
3240,3.2066147
3260,2.8222327
3280,3.1154351
3300,2.8954282
3320,2.8668835
3340,2.9442363
3360,3.1463046
3380,3.2240262
3400,3.355833
3420,3.2738137
3440,3.4389184
3460,3.0060775
3480,3.7918224
3500,3.2576509
3520,3.4803796
3540,3.8937135
3560,3.6181276
3580,3.5628998
3600,3.4305952
3620,3.780055
3640,3.8861127
3660,3.6634758
3680,3.7104533
3700,3.955068
3720,4.011709
3740,4.3338537
3760,4.0448303
3780,4.3562207
3800,4.136642
3820,3.9200659
3840,4.222728
3860,4.2974024
3880,4.411516
3900,4.408116
3920,4.535773
3940,4.2512765
3960,4.4035916
3980,4.0107274
4000,4.479001
4020,4.3475666
4040,4.4222684
4060,5.523071
4080,4.5648847
4100,4.5680776
4120,4.407505
4140,5.6322427
4160,4.5285687
4180,4.845284
4200,5.8460393
4220,5.0093527
4240,5.7451487
4260,5.902272
4280,5.941735
4300,5.6187396
4320,5.290408
4340,5.6038713
4360,6.024449
4380,5.743097
4400,5.7177453
4420,5.7632565
4440,6.099296
4460,5.8854322
4480,6.085789
4500,5.9941244
4520,6.274959
4540,6.0033784
4560,6.0988317
4580,5.9100375
4600,6.381444
4620,6.1236925
4640,5.980756
4660,6.4695845
4680,6.3180656
4700,6.388253
4720,6.032458
4740,6.5276327
4760,6.4561744
4780,6.274578
4800,6.5006895
4820,6.369104
4840,6.5255737
4860,6.211173
4880,6.358602
4900,6.416307
4920,6.348044
4940,6.4099646
4960,6.526687
4980,6.4442368
